rowid_obs;Id;IsOkStation;IsOkMetadata;SufiDay;SufiMon;Z-score;Corr;Level
11608;20200517yy1trcwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11609;202005177ztz9fcanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11610;20200517jupfqncanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11611;20200517oyr3b3radre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11612;20200517h8ifqucanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11613;202005173kpir3hadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11614;20200517b1ntfmradye6in5tyyb96sciue;True;True;True;True;True;True;M4
11615;20200517j5eaparadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11616;20200517itojxcwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11617;20200517o3wmg3ranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11618;202005171kmk7hranae6in5tyyb96sciue;True;True;True;True;True;True;M4
11619;20200517y9cp3bcadee6in5tyyb96sprnc;True;True;True;True;True;True;M4
11620;20200517zb5wythadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11621;202005175xqw8pcanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11622;20200517jupfptranhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11623;20200517kidpsrradre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11624;20200517rtyj3khanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11625;20200517outcxxranoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11626;20200517ttza77hanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11627;202005177iz9udwanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11628;20200517c8hjq6canwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11629;2020051735reo4wanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11630;20200517nese6xhanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11631;20200517x5f6reranhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11632;20200517itmj14cadye6in5tyyb96sprnc;True;True;False;False;False;True;M1
11633;20200517tmtdr8ranoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11634;20200517c6j7imwadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11635;20200517xpj1dhhanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11636;20200517e6cgx5ranae6in5tyyb96sciue;True;True;True;True;True;True;M4
11637;20200517mmzsnjradre6in5tyyb96sciue;True;True;True;True;True;True;M4
11638;20200517w1dgrccanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11639;20200517x5xro1canoe6in5tyyb96sprnc;True;True;False;False;False;True;M1
11640;20200517o3wmgpcanae6in5tyyb96sprnc;True;True;False;False;False;True;M1
11641;20200517ik3hsiranhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11642;202005174m93a4radee6in5tyyb96sprnc;True;True;True;True;True;True;M4
11643;202005179ei15qhanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11644;20200517uehiznwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11645;20200517o3wmguwanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11646;202005179qtqikhadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11647;20200517f3dideranhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11648;20200517xdcbwwranoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11649;202005174547h4ranwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11650;20200517jr4k5gwadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11651;20200517sj1m6fcadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11652;20200517wbeos1radye6in5tyyb96sciue;True;True;True;True;True;True;M4
11653;20200517qkssrtranoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11654;2020051738yrrjradre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11655;20200517unj5z8hanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11656;20200517rtyj3ghanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11657;202005177fqj8branwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11658;20200517czurnuranhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11659;20200517fcpge7ranwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11660;20200517qk1y8sranoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11661;20200517hmiyimwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11662;20200517rumopowadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11663;20200517iepxzmwanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11664;20200517uixcfsranwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11665;20200517amph4ccadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11666;20200517iepxzkwanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11667;202005171rt8p8wanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11668;20200517u5tzpswadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11669;20200517snfn39wanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11670;20200517p37ic4wadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11671;202005174cpa4phadee6in5tyyb96sciue;True;True;True;True;True;True;M4
11672;202005179ei15mwanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11673;20200517rkbp9hradre6in5tyyb96sciue;True;True;True;True;True;True;M4
11674;202005174wh3abwadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11675;20200517j5eap7wadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11676;20200517w3ow3shadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11677;20200517d3nnhbhanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11678;20200517x5xrothanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11679;20200517h73o49hanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11680;20200517gfhafcwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11681;20200517ihccjgcanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11682;20200517hmiyiehadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11683;20200517b7i1qecanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11684;202005174s13bucanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11685;202005175wyigncanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11686;20200517bdf9o3wadee6in5tyyb96sciue;True;True;True;True;True;True;M4
11687;2020051777muprranwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11688;20200517rwckaicanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11689;20200517unj5s5ranae6in5tyyb96sciue;True;True;True;True;True;True;M4
11690;20200517grugygranwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11691;20200517s4ag4nhanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11692;202005173rptegwadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11693;20200517tmdz4mcanoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11694;20200517xd8sjrcanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11695;20200517jj9qauwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11696;20200517xdcbw4hanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11697;20200517obshm3canae6in5tyyb96sciue;True;True;True;True;True;True;M4
11698;20200517fcpgjbhanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11699;202005176q4q66wanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11700;20200517mpb74icadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11701;20200517u345tkwanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11702;20200517ikg3a6wanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11703;20200517cf9tzaradre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11704;20200517xexbhxcaree6in5tyyb96sciue;True;True;True;True;True;True;M4
11705;202005175um6xwhadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11706;20200517dbddrhwanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11707;202005171mjayocadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11708;20200517ihccjbwanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11709;2020051735zuebranae6in5tyyb96sciue;True;True;True;True;True;True;M4
11710;20200517x5f6r8canhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11711;202005175k568ywanoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11712;20200517bpzot1radre6in5tyyb96sciue;True;True;True;True;True;True;M4
11713;202005173rpte8hadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11714;20200517mgt1bcwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11715;202005176ww1ohranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11716;20200517bpu3xgradre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11717;20200517xdcbw7canoe6in5tyyb96sprnc;True;True;True;False;True;False;M2
11718;20200517wtabe7canae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11719;20200517swk3hxhanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11720;20200517wbrac4hadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11721;20200517p118cdcanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11722;202005173moszbwanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11723;20200517gtd33kcanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11724;20200517a1gfghradye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11725;20200517kmgzc9ranhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11726;20200517uur6ushanoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11727;20200517a1g3qpwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11728;20200517mpb74owadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11729;20200517d89haecadee6in5tyyb96sprnc;True;True;True;True;True;True;M4
11730;2020051777mupycanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11731;20200517a1gfg5wadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11732;2020051777muc6canwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11733;20200517jj9qa4hadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11734;20200517bopp3ccanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11735;202005171fjdhqranwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11736;20200517e6jehpranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11737;20200517xn5845wanoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11738;20200517cf9tancadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11739;20200517hfauz5hanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11740;20200517dbko3icanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11741;202005174zi9phwadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11742;20200517tccf1dwanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11743;20200517uuw7t4canoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11744;20200517jgmhzohanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11745;20200517nkmx9jhadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11746;2020051735zuexcanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11747;2020051735retpranae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11748;20200517pr4x39hanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11749;20200517sp8syowadhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11750;202005173ohrdxwaere6in5tyyb96sprnc;True;True;True;True;True;True;M4
11751;20200517uehxp6wadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11752;20200517o4yyfbcanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11753;20200517i9wguowanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11754;20200517b7i1qkcanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11755;20200517zwoiswhanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11756;20200517mmzsnkcadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11757;2020051799yamuhanoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11758;20200517cgbwqkhanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11759;20200517wtabeucanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11760;202005173wnxm4hadee6in5tyyb96sprnc;True;True;True;True;True;True;M4
11761;20200517w1dgr1wanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11762;202005176odyhyhanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11763;20200517mmzsnqradre6in5tyyb96sciue;True;True;True;True;True;True;M4
11764;20200517qkssrjwanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11765;20200517uehxpxwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11766;20200517mujh937b4we6in5tyyb96smudo;True;True;True;False;True;False;M2
11767;20200517uehxphwadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11768;20200517uehishhadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11769;20200517qk1y8iranoe6in5tyyb96sciue;True;True;True;True;True;True;M4
11770;20200517xjid96hanae6in5tyyb96sprnc;True;True;True;True;True;True;M4
11771;202005174547h3canwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11772;20200517uehizrwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11773;20200517t187xgranae6in5tyyb96sciue;True;True;True;True;True;True;M4
11774;20200517w3ow4gradye6in5tyyb96sciue;True;True;True;True;True;True;M4
11775;202005175xqw8mwanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11776;20200517h9wfq9hanhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11777;20200517w3fwbiwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11778;20200517xdcbwhranoe6in5tyyb96sprnc;True;True;True;True;True;False;M3
11779;20200517j5eap5radre6in5tyyb96sciue;True;True;True;True;True;True;M4
11780;20200517d56jbccanwe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11781;20200517o4yyffcanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11782;20200517qm8xboranhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11783;20200517pf6rs8hajhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11784;20200517nkghsfwadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11785;20200517i4d3kkcanwe6in5tyyb96sciue;True;True;True;True;True;True;M4
11786;20200517b7i1qjwanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11787;202005175up1pfcadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11788;20200517q1hddjradye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11789;20200517unj5zrwanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11790;202005179qtqiycadre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11791;202005178wiquzradre6in5tyyb96sprnc;True;True;True;True;True;True;M4
11792;20200517b7i1qjhanhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11793;20200517mqfsmicanae6in5tyyb96sciue;True;True;True;True;True;True;M4
11794;20200517ofn8ficadye6in5tyyb96sciue;True;True;True;True;True;True;M4
11795;20200517h5ry59wanoe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11796;20200517ame5ruranae6in5tyyb96sciue;True;True;True;True;True;True;M4
11797;202005171g5am4cadre6in5tyyb96sciue;True;True;True;True;True;True;M4
11798;20200517fc73qjcadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11799;20200517mobys8canwe6in5tyyb96sprnc;True;True;True;True;True;False;M3
11800;2020051777mupdranwe6in5tyyb96sciue;True;True;False;False;False;True;M1
11801;20200517dj4zfxhanae6in5tyyb96sciue;True;True;False;False;False;True;M1
11802;20200517c8hjq4wanwe6in5tyyb96sciue;True;True;False;False;False;True;M1
11803;20200517ihcce6wanoe6in5tyyb96sprnc;True;True;False;False;False;True;M1
11804;20200517x5f6rnranhe6in5tyyb96sciue;True;True;False;False;False;True;M1
11805;202005173dkkw7hanae6in5tyyb96sciue;True;True;False;False;False;True;M1
11806;20200517fmenbfcadye6in5tyyb96sciue;True;True;False;False;False;True;M1
11807;20200517g1hnh4hanhe6in5tyyb96sciue;True;True;True;True;False;False;M1
11808;20200517jswtncwanae6in5tyyb96sprnc;True;True;True;True;False;False;M1
11809;20200517yb1m8thadye6in5tyyb96sprnc;True;True;True;True;True;True;M4
11810;202005177iz914ranhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11811;20200517zwoisiranhe6in5tyyb96sciue;True;True;True;True;True;True;M4
11812;20200517pwx39ohajhe6in5tyyb96sprnc;True;True;True;True;True;True;M4
11813;20200517p6e9kfcajhe6in5tyyb96sciue;True;True;True;True;True;True;M4
