rowid;country;station_id;count
142;dk;e003d690-3f49-eb11-8fed-0003ff5982ed;861
143;dk;e7d2e9e9-7687-e811-8c6e-0003ff597a81;1
144;ee;32490406-e832-e911-867c-0003ff59862c;3
145;el;bb286b8e-7763-ea11-b698-0003ff599880;1
146;el;bc6e2d5e-6361-ea11-b698-0003ff599880;639
147;el;e3b0181d-bf65-ea11-99e5-0003ff59b16f;2
148;el;eab06154-c250-ea11-b698-0003ff59771b;1
149;es;077981d4-2235-ea11-8454-0003ff599bc1;2
150;es;15346017-9777-e911-80e7-0003ff597316;2
151;es;1702d284-a1a8-ea11-8b71-0003ff59a5f8;4
152;es;1b6754d2-303d-eb11-8fed-0003ff5982ed;1
153;es;1ebc4a7a-f0db-ea11-bf21-0003ff595f95;1
154;es;24a0c5d1-f071-ea11-99e5-0003ff59b198;2
155;es;2b4ea2ac-ae16-eb11-8441-0003ff597a64;1
156;es;3c338604-2a4b-ea11-b698-0003ff59771b;362
157;es;3dfe416d-5e7f-ea11-99e5-0003ff59b198;1
158;es;3e313ba8-42c9-ea11-bf21-0003ff59a78c;1
159;es;4b92df8d-aca0-ea11-8b71-0003ff59b0d7;3
160;es;5644655b-1306-eb11-b5d9-0003ff599498;1
161;es;5cdf5681-9254-ea11-b698-0003ff59771b;1
162;es;83624490-085b-ea11-b698-0003ff599880;1
163;es;840df81d-6736-eb11-8fed-0003ff5982ed;3
164;es;8b6c40d9-e944-ea11-b698-0003ff59771b;1
165;es;8b821167-46e4-ea11-bf21-0003ff59a78c;255
166;es;9c0b17ac-459b-ea11-8b71-0003ff59b0d7;1
167;es;b68d638e-d8f1-ea11-b5d9-0003ff59944a;1
168;es;bf7187f2-3b0f-eb11-8441-0003ff597a64;1
169;es;dc19b2b9-cf22-eb11-8441-0003ff59786b;3
170;es;e4a08528-3d7f-e911-80e7-0003ff597316;2
171;es;fcd7a921-837a-ea11-99e5-0003ff59b198;1
172;fi;253c790d-b0e5-e911-b3ba-0003ff59b0d7;11
173;fr;37946531-6832-ea11-8454-0003ff59ab13;1
174;fr;3b47a610-f847-ea11-b699-0003ff59987e;2
175;fr;3c623dde-3eff-ea11-b5d9-0003ff5982ee;1
176;fr;4578fb44-7196-ea11-8b71-0003ff59a3d6;1
177;fr;7523b0c3-7c05-eb11-b5d9-0003ff599498;1
