SID;lat;lon;elev;name
4200000425;56.5544;-5.9764;;---
4200000426;53.1789;-4.0591;162;---
4200000430;50.363956;11.153602;395;---
4200000432;50.7443;-1.9005;6;---
4200000435;51.67162;-0.846838;152;---
4200000436;53.056073;-4.223213;157;---
4200000437;39.200132;-0.315046;18;---
4200000438;51.6468348952193;-1.00530315148922;139;---
4200000439;59.7476;17.0632;21;---
4200000440;53.880629;-1.912694;107;---
4200000441;59.2584;18.0732;37;---
4200000442;62.0525303132109;15.8155530667304;183;---
4200000444;53.676;-2.9638;3;---
4200000445;52.7453;5.235;1;---
4200000447;59.2533;17.5258;30;---
4200000450;51.1277;4.2299;13;---
4200000451;59.1116;-3.2298;82;---
4200000452;48.7996;17.0192;153;---
4200000456;50.769820560393;-3.35529623184502;74;---
4200000459;52.7111;-0.3567;28;---
4200000461;50.906;-4.5206;152;---
4200000463;52.8845;-0.6851;76;---
4200000464;53.3638;-2.195085;78;---
4200000467;52.001218;-4.738517;102;---
4200000468;39.2763;-7.4246;465;---
4200000473;51.2868;-1.0633;76;---
4200000474;52.0178;4.322;-2;---
4200000475;51.435;-2.7424;43;---
4200000476;52.2550678;7.00293110000007;34;---
4200000477;51.365;-0.251;43;---
4200000482;51.7202;0.4743;45;---
4200000483;56.8836;-4.255;477;---
4200000485;50.661795;-1.200402;14;---
4200000486;50.7256;-3.9086;253;---
4200000487;55.658798;-4.700723;21;---
4200000490;52.896594;-0.437179;71;---
4200000491;51.464997;0.171039;6;---
4200000492;56.1145;13.7407;88;---
4200000493;52.0961;4.5919;-5;---
4200000494;51.2177;4.435;3;---
4200000496;55.7063239550283;-2.46270814421086;152;---
4200000499;51.267483;-0.324188;89;---
4200000500;53.066763;-2.042013;152;---
4200000501;52.8359;-0.3773;54;---
4200000502;52.5903;1.5567;3;---
4200000504;50.884044;-3.373661;71;---
4200000505;65.3843;21.3131;27;---
4200000507;52.0991;5.1082;1;---
4200000509;52.006234;6.51851;19;---
4200000510;51.6425;-3.8179;75;---
4200000511;54.7551456214678;-1.54361035418697;77;---
4200000512;50.8773;4.7229;39;---
4200000513;40.6955;-3.3679;753;---
4200000519;59.0692924320994;-3.23319763183599;29;---
4200000520;63.5333;16.4667;230;---
4200000522;53.5466;-0.171;25;---
4200000524;48.6081;8.6984;485;---
4200000526;51.5072;-0.1275;14;---
4200000528;50.4225;6.3044;619;---
4200000530;50.8726;4.7326;60;---
4200000531;39.9464942;-7.62625200000002;298;---
4200000534;51.5804;-3.2481;144;---
4200000536;52.6667;6.8764;12;---
4200000539;50.0566532481954;15.5315580940246;200;---
4200000540;49.5348;8.3862;90;---
4200000541;43.5504;27.8341;248;---
4200000543;44.4289;8.8277;48;---
4200000544;41.4208;1.9597;258;---
4200000553;52.5321;6.068;1;---
4200000554;52.1726;5.3964;3;---
4200000556;50.8385207881294;-1.11002704732971;;---
4200000557;47.2458;9.5024;432;---
4200000558;51.3293;-2.2073;52;---
4200000560;57.4832;-4.254;8;---
4200000565;52.508;5.4556;-4;---
4200000566;43.9594310475673;10.9539696693421;239;---
4200000567;57.8726;11.9759;52;---
4200000568;53.2240886;6.3520888;1;---
4200000569;50.6657252;4.5868116;105;---
4200000570;65.7349;15.0766;472;---
4200000571;54.4111020069983;-5.6653890740356;11;---
4200000573;52.234821;4.900526;-5;---
4200000577;51.9859;5.115;1;---
4200000578;50.6472;10.4358;477;---
4200000583;51.0460416437697;5.5779448127746;78;---
4200000584;53.257;6.457;1;---
4200000588;54.0378;-0.7103;176;---
4200000590;55.7357;-3.9858;87;---
4200000592;49.9998;22.6686;244;---
4200000593;51.9489;-3.3878;150;---
4200000594;57.5926;12.5362;110;---
4200000595;37.9429;-0.7336;45;---
4200000596;59.1771;12.0035;100;---
4200000598;40.6287;-8.7099;4;---
4200000599;50.9308;3.6341;9;---
4200000600;52.182094;5.516557;6;---
4200000603;56.1126;15.7017;1;---
4200000606;50.8691;4.7112;43;---
4200000608;48.0701032162488;14.4153142056656;306;---
4200000609;50.267742;-5.060754;55;---
4200000610;48.56799;13.02747;383;---
4200000611;52.3012471558319;-0.894432142883261;79;---
4200000613;39.036615;1.415841;158;---
4200000614;58.5888;16.1763;19;---
4200000615;43.187954;-8.540497;468;---
4200000616;48.7009;1.882;149;---
4200000618;52.1571064706855;-0.709689110346631;63;---
4200000619;51.913;-1.5934;151;---
4200000620;51.614896;-0.418886;76;---
4200000621;56.3955992052358;15.4705002880096;96;---
4200000622;55.938024;-3.066387;9;---
4200000623;51.1947;-1.9041;109;---
4200000625;50.693604;-3.466111;5;---
4200000628;52.4461;-1.5317;116;---
4200000630;57.1637;-2.2786;153;---
4200000632;51.591682;-2.536318;76;---
4200000633;52.3337;6.6263;10;---
4200000634;51.595;-0.149;76;---
4200000635;49.316362;6.092433;185;---
4200000637;50.9674;-2.46;84;---
4200000638;52.5696;13.0657;34;---
4200000642;52.1397712;6.23417659999996;8;---
4200000644;50.3229;6.0199;424;---
4200000645;52.011;5.5373;9;---
4200000646;50.5213;-4.3168;162;---
4200000647;55.991841;12.490768;44;---
4200000648;53.3485;-3.0088;13;---
4200000649;50.636362;-1.258838;65;---
4200000650;42.433;23.817;659;---
4200000651;53.0552;-2.3012;149;---
4200000652;51.551566;-9.622822;87;---
4200000653;51.9944;-0.3653;59;---
4200000654;45.4052;9.0358;110;---
4200000655;50.3504;4.2655;182;---
4200000656;50.624093;-1.182404;;---
4200000663;56.8010223161286;12.9880487895011;71;---
4200000664;55.7441986309476;21.1416020965576;18;---
4200000668;40.6712;-4.0834;922;---
4200000669;52.535816;-2.097541;152;---
