;rowid;Site Id;longitude;latitude;IsWithin;CountryId;geometry;elevation;UTC_TimeZone;UTC_OffsetHours;HARP_SID_int
47;63;047669dc-f7cd-e611-9400-000d3ab1cf4b;4.85483467340464;52.7849920791672;True;NL;POINT (4.85483467340464 52.7849920791672);-1.0;Europe/Amsterdam;+01:00;4200000063
48;64;04785fe0-8a3c-eb11-8fed-0003ff5982ed;6.064272;50.243106;True;BE;POINT (6.064272 50.243106);453.0;Europe/Brussels;+01:00;4200000064
49;65;047c7050-aa24-e911-9462-0003ff59610a;16.623;57.8862;True;SE;POINT (16.623 57.8862);;Europe/Stockholm;+01:00;4200000065
50;70;05481b99-5a81-ea11-99e5-0003ff596d81;-3.2705;50.7494;True;UK;POINT (-3.2705 50.7494);88.0;Europe/London;+00:00;4200000070
51;71;05595da6-2802-e911-9462-0003ff598847;12.6451934814453;56.8581658051363;True;SE;POINT (12.6451934814453 56.8581658051363);38.0;Europe/Stockholm;+01:00;4200000071
52;72;055a9f79-8b7c-e911-80e7-0003ff59889d;-6.3514;54.0519;True;IE;POINT (-6.3514 54.0519);52.0;Europe/Dublin;+00:00;4200000072
53;73;0564c9dc-07ab-e911-b083-0003ff598cc1;-2.5426;53.5301;True;UK;POINT (-2.5426 53.5301);67.0;Europe/London;+00:00;4200000073
54;74;05674246-2e89-e811-8c6e-0003ff59b2de;10.1479402037048;53.6078111604146;True;DE;POINT (10.1479402037048 53.6078111604146);26.0;Europe/Berlin;+01:00;4200000074
55;76;0589d240-04a7-ea11-8b71-0003ff59b0d7;13.3999;55.5934;True;SE;POINT (13.3999 55.5934);37.0;Europe/Stockholm;+01:00;4200000076
56;78;05adcbbe-52f9-e811-a140-0003ff5993a0;6.005;51.566;True;NL;POINT (6.005 51.566);17.0;Europe/Amsterdam;+01:00;4200000078
57;79;05ade684-e132-eb11-8441-0003ff597f33;5.3394;49.7386;True;BE;POINT (5.3394 49.7386);365.0;Europe/Brussels;+01:00;4200000079
58;80;05b2f112-0064-e811-bd6d-0003ff59b2de;4.5163644;52.2181485;True;NL;POINT (4.5163644 52.2181485);1.0;Europe/Amsterdam;+01:00;4200000080
59;81;05b67668-16a7-ea11-8b71-0003ff59a5f8;15.7316;56.1684;True;SE;POINT (15.7316 56.1684);12.0;Europe/Stockholm;+01:00;4200000081
60;83;05c1e020-7a97-ea11-8b71-0003ff59a3d6;21.8337;51.2271;True;PL;POINT (21.8337 51.2271);128.0;Europe/Warsaw;+01:00;4200000083
61;84;05d7e9e4-62b4-ea11-bf21-0003ff59a5e1;13.7497;50.2936;True;CZ;POINT (13.7497 50.2936);301.0;Europe/Prague;+01:00;4200000084
